hwWlanStaMac;hwWlanStaUsername;hwWlanStaApMac;hwWlanStaApName;hwWlanStaApGroup;hwWlanStaRadioId;hwWlanStaAssocBand;hwWlanStaSupportBand;hwWlanStaAccessChannel;hwWlanStaRfMode;hwWlanStaHtMode;hwWlanStaMcsVal;hwWlanStaShortGIStatus;hwWlanStaConnectRxRate;hwWlanStaConnectTxRate;hwWlanStaEssName;hwWlanStaBSSID;hwWlanStaSsid;hwWlanStaStatus;hwWlanStaAuthenMethod;hwWlanStaEncryptMethod;hwWlanStaQosMode;hwWlanStaRoamStatus;hwWlanStaVlan;hwWlanStaIP;hwWlanStaIPv6;hwWlanStaGateway;hwWlanStaAssocTime;hwWlanStaAccessTime;hwWlanStaOnlineTime;hwWlanStaAccessOnlineTime;hwWlanStaStatOperMode;hwWlanStaWirelessStatRxFrames;hwWlanStaWirelessRxBytes;hwWlanStaWirelessRxRate;hwWlanStaWirelessStatTxFrames;hwWlanStaWirelessTxBytes;hwWlanStaWirelessTxRate;hwWlanStaPeriodSendDropFrames;hwWlanStaPeriodReSendFrames;hwWlanStaPeriodReSendBytes;hwWlanStaRssi;hwWlanStaNoise;hwWlanStaSnrUs;hwWlanStaRxPowerUs;hwWlanStaChannelUtilRate;hwWlanStaChannelBusyRate;hwWlanStaChannelTxRatio;hwWlanStaChannelRxRatio;hwWlanStaChannelFreeRate;hwWlanStaChannelInterfRate;hwWlanStaPeriodSendFrames;hwWlanStaApId;hwWlanStationUapsdCapacity;hwWlanStationPowerSavePercent;hwWlanStaAssocStartTime;hwWlanStaAssocSuccessTime;hwWlanStaAuthStartTime;hwWlanStaAuthSuccessTime;hwWlanStaDhcpStartTime;hwWlanStaDhcpSuccessTime;hwWlanStaVHTCapable;hwWlanStaVHTTxBFCapable;hwWlanStaMUMIMOCapable;hwWlanStaWpaStartTime;hwWlanStaWpaSuccessTime;hwWlanStaWirelessPacketDelay;hwWlanStaAccessSuccessRate;hwWlanStaTotalAccessTime;hwWlanStaDelayStatus;hwWlanStaAssocDuration;hwWlanStaWpaDuration;hwWlanStaAuthDuration;hwWlanStaDhcpDuration;hwWlanStationDevType;hwWlanStaNaviACID;hwWlanStaWirelessStatRxIPv6Frames;hwWlanStaWirelessRxIPv6Bytes;hwWlanStaWirelessStatTxIPv6Frames;hwWlanStaWirelessTxIPv6Bytes;hwWlanStaGatewayIPv6;hwWlanStaCategoryName;hwWlanStaVendorName;hwWlanStaModelName;hwWlanStaOS;Index Value
F8-71-0C-6E-;;E0-00-84-38-25-40;R0_EST-AP_0.2;EDUROAM;1;2;3;36;;ht40;9;support;135;200;eduroam;E0-00-84-38-25-50;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;22;1062461;FE80::AFCF:A1BB:2FAB:12D6?2001:648:2D00:3022:510E:4707:BB05:32DD?2001:648:2D00:3022:1B6:BC7:E3AE:A3C0;106241;1708085065;1708085066;555;554;;2359;691838;17192;5296;5191859;205368;0;3;0;-67;0;2800;-6700;7;7;5;1;93;1;4218;4;0;;1708092400;1708092400;1708092400;1708092400;0;0;;;;;1708092400;0;0;0;;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.48E+16
FA-1C-3D-65-;;B0-08-75-C7-6F-40;KTIRIO_TH_R0-AP_1.1;EDUROAM;0;1;3;11;;ht20;9;support;192;130;eduroam;B0-08-75-C7-6F-40;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;24;1062824;2A02:1388:2081:14F8:FB07:3A5C:9FEE:55F6?FE80::F81C:3DFF:FE65:647C?2001:648:2D00:3024:31D6:E372:B90B:643A;106281;1708081234;1708081235;4386;4385;;62925;13467003;32264;323976;391522954;397432;4;769;0;-52;0;4300;-5200;16;16;3;0;84;13;8420;79;0;;1708089621;1708089621;1708089621;1708089621;1708090137;1708090137;;;;;1708089621;0;0;0;;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.50E+15
FA-D7-9D-25-;;68-4A-AE-AB-AD-60;KTIRIO_B_R1-AP_1.4;EDUROAM;1;2;3;124;;ht40;9;support;135;180;eduroam;68-4A-AE-AB-AD-70;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;24;1062813;FE80::18AF:2AD1:7F7E:D7AB?2001:648:2D00:3024:1811:866B:43C3:A0E0?2001:648:2D00:3024:ECF8:FAD8:F93B:5DC2;106281;1708081329;1708081329;4292;4290;;35838;10395629;5824;198603;235388157;9760;0;0;0;-75;0;2000;-7500;0;0;0;0;100;0;1041;135;0;;1708089087;1708089087;1708089087;1708089087;1708089431;1708089431;;;;;1708089087;0;0;0;;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.50E+15
FA-E1-28-42-;;84-46-FE-A3-E5-A0;KTIRIO_H_R1-AP_1.8;EDUROAM;1;2;3;132;;ht40;9;support;200;200;eduroam;84-46-FE-A3-E5-B0;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;20;1062045;FE80::F8E1:28FF:FE42:3141?2001:648:2D00:3020:F8E1:28FF:FE42:3141?2001:648:2D00:3020:F109:3908:41D1:930F;106201;1708082345;1708082345;3276;3276;;59572;9559048;27016;196898;263208649;999416;0;13;0;-61;0;3400;-6100;0;0;0;0;100;0;15860;59;0;;1708091450;1708091450;1708091450;1708091450;1708091537;1708091537;;;;;1708091450;0;0;0;;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.50E+13
FC-19-99-8A-;;68-4A-AE-AB-A8-00;KTIRIO_A_R0-AP_2.2;EDUROAM;1;2;3;132;;ht40;9;support;135;162;eduroam;68-4A-AE-AB-A8-10;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;23;1062620;FE80::FE19:99FF:FE8A:1978?2001:648:2D00:3023:A0:4F3B:2737:5B73;106261;1708081246;1708081247;4376;4374;;34357;10353379;71344;138224;161085951;770072;0;30;0;-71;0;2400;-7100;0;0;0;0;100;0;15073;25;0;;1708091596;1708091596;1708091596;1708091596;1708092049;1708092049;;;;;1708091596;0;0;0;;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.52E+15
FC-19-99-AC-;;E0-00-84-38-1C-40;KTIRIO_Z_R0-AP_0.4;EDUROAM;1;2;3;52;;ht40;9;support;162;200;eduroam;E0-00-84-38-1C-50;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;21;1062217;FE80::FE19:99FF:FEAC:306?2001:648:2D00:3021:FE19:99FF:FEAC:306?2001:648:2D00:3021:49EA:AE06:D60D:F0A9;106221;1708084737;1708084738;885;884;;11717;2069771;336;31160;39267760;504;0;6;0;-71;0;2400;-7100;0;0;0;0;100;0;66;100;0;;1708091969;1708091969;1708091969;1708091969;0;0;;;;;1708091969;0;0;0;;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.52E+12
FC-19-99-D7-;;84-46-FE-A3-E6-60;KTIRIO_H_R1-AP_2.9;EDUROAM;1;2;3;124;;ht40;9;support;108;150;eduroam;84-46-FE-A3-E6-70;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;24;1062859;FE80::1627:D157:473C:3A02?2001:648:2D00:3024:293A:A9DF:E9B:140E;106281;1708081228;1708081228;4394;4393;;57656;14463558;512;239776;290775563;136;0;1;0;-76;0;1900;-7600;0;0;0;0;100;0;11;69;0;;1708090716;1708090716;1708090716;1708090716;1708091130;1708091130;;;;;1708090716;0;0;0;;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.52E+14
FC-D9-08-08-;;B0-08-75-C7-6C-80;KTIRIO_I_R1-AP_0.1;EDUROAM;0;1;3;6;;ht40;9;support;108;180;eduroam;B0-08-75-C7-6C-80;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;24;106286;FE80::1102:EB74:385F:87B8?2001:648:2D00:3024:3C1:B567:2AD6:E41C?2001:648:2D00:3024:52E:6E5A:9BA9:272;106281;1708085573;1708085573;50;48;;400;103190;7440;472;412365;3528;0;7;0;-72;0;2000;-7200;18;18;4;1;82;13;34;148;0;;1708092786;1708092786;1708092786;1708092786;0;0;;;;;1708092786;0;0;0;;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.52E+13
FE-51-F5-AE-;;B0-08-75-C7-73-E0;KTIRIO_A_R0-AP_0.8;EDUROAM;1;2;3;60;;ht40;9;support;240;300;eduroam;B0-08-75-C7-73-F0;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;22;106246;FE80::FC51:F5FF:FEAE:71A5?2001:648:2D00:3022:DAE5:82C0:9D9C:4B7D;106241;1708081381;1708081381;4242;4242;;57650;9873194;4040;138566;153635082;3400;0;0;0;-75;0;2000;-7500;1;1;0;0;99;1;789;14;0;;1708090675;1708090675;1708090675;1708090675;1708091283;1708091283;;;;;1708090675;0;0;0;;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.55E+16
FE-6A-0D-42-;;E0-00-84-38-25-40;R0_EST-AP_0.2;EDUROAM;1;2;3;36;;ht40;9;support;400;400;eduroam;E0-00-84-38-25-50;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;22;1062459;FE80::C68:B0B0:1577:8A56?2001:648:2D00:3022:1016:B7A5:7DA1:542E;106241;1708085364;1708085364;259;259;;956;231700;1736;976;405330;1784;0;0;0;-52;0;4300;-5200;7;7;5;1;93;1;89;4;0;;0;0;0;0;0;0;;;;;0;0;0;0;;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.54E+15
FE-BC-57-D9-;;B0-08-75-C7-6C-A0;KTIRIO_C_R0-AP_2.3;EDUROAM;1;2;3;44;;ht40;9;support;6;200;eduroam;B0-08-75-C7-6C-B0;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;22;1062436;FE80::FCBC:57FF:FED9:5024?2001:648:2D00:3022:F968:BA5D:8CAE:3D05;106241;1708081244;1708081249;4380;4374;;10868;2454407;2600;29205;30250312;3256;0;0;0;-63;0;3200;-6300;0;0;0;0;100;0;261;41;0;;1708092242;1708092242;1708092242;1708092242;1708092597;1708092597;;;;;1708092242;0;0;0;;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.54E+14
