hwWlanStaMac;hwWlanStaUsername;hwWlanStaApMac;hwWlanStaApName;hwWlanStaApGroup;hwWlanStaRadioId;hwWlanStaAssocBand;hwWlanStaSupportBand;hwWlanStaAccessChannel;hwWlanStaRfMode;hwWlanStaHtMode;hwWlanStaMcsVal;hwWlanStaShortGIStatus;hwWlanStaConnectRxRate;hwWlanStaConnectTxRate;hwWlanStaEssName;hwWlanStaBSSID;hwWlanStaSsid;hwWlanStaStatus;hwWlanStaAuthenMethod;hwWlanStaEncryptMethod;hwWlanStaQosMode;hwWlanStaRoamStatus;hwWlanStaVlan;hwWlanStaIP;hwWlanStaIPv6;hwWlanStaGateway;hwWlanStaAssocTime;hwWlanStaAccessTime;hwWlanStaOnlineTime;hwWlanStaAccessOnlineTime;hwWlanStaStatOperMode;hwWlanStaWirelessStatRxFrames;hwWlanStaWirelessRxBytes;hwWlanStaWirelessRxRate;hwWlanStaWirelessStatTxFrames;hwWlanStaWirelessTxBytes;hwWlanStaWirelessTxRate;hwWlanStaPeriodSendDropFrames;hwWlanStaPeriodReSendFrames;hwWlanStaPeriodReSendBytes;hwWlanStaRssi;hwWlanStaNoise;hwWlanStaSnrUs;hwWlanStaRxPowerUs;hwWlanStaChannelUtilRate;hwWlanStaChannelBusyRate;hwWlanStaChannelTxRatio;hwWlanStaChannelRxRatio;hwWlanStaChannelFreeRate;hwWlanStaChannelInterfRate;hwWlanStaPeriodSendFrames;hwWlanStaApId;hwWlanStationUapsdCapacity;hwWlanStationPowerSavePercent;hwWlanStaAssocStartTime;hwWlanStaAssocSuccessTime;hwWlanStaAuthStartTime;hwWlanStaAuthSuccessTime;hwWlanStaDhcpStartTime;hwWlanStaDhcpSuccessTime;hwWlanStaVHTCapable;hwWlanStaVHTTxBFCapable;hwWlanStaMUMIMOCapable;hwWlanStaWpaStartTime;hwWlanStaWpaSuccessTime;hwWlanStaWirelessPacketDelay;hwWlanStaAccessSuccessRate;hwWlanStaTotalAccessTime;hwWlanStaDelayStatus;hwWlanStaAssocDuration;hwWlanStaWpaDuration;hwWlanStaAuthDuration;hwWlanStaDhcpDuration;hwWlanStationDevType;hwWlanStaNaviACID;hwWlanStaWirelessStatRxIPv6Frames;hwWlanStaWirelessRxIPv6Bytes;hwWlanStaWirelessStatTxIPv6Frames;hwWlanStaWirelessTxIPv6Bytes;hwWlanStaGatewayIPv6;hwWlanStaCategoryName;hwWlanStaVendorName;hwWlanStaModelName;hwWlanStaOS;Index Value
00-0A-F5-F0-;;E0-00-84-38-27-00;R0_EST-AP_0.3;EDUROAM;0;1;1;1;dotn;ht20;7;support;72;52;eduroam;E0-00-84-38-27-00;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;21;1062262;FE80::979E:DE83:F2A0:D026?2001:648:2D00:3021:63D4:FC56:D706:A6B9?2001:648:2D00:3021:DCB1:38A9:66C6:C85;106221;1708085358;1708085359;123;122;;28859;3127562;101784;52853;75252706;2211816;3;1368;0;-49;0;4500;-4900;56;56;38;3;44;15;8160;5;0;0;0;0;0;0;0;0;nonsupport;nonsupport;nonsupport;0;0;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.02E+12
00-28-F8-BE-;;84-46-FE-A3-E2-C0;KTIRIO_H_R1-AP_1.5;EDUROAM;1;2;3;52;dotac;ht40;9;support;180;270;eduroam;84-46-FE-A3-E2-D0;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;no;23;10626109;FE80::8D7:40D0:8760:CF9F?2001:648:2D00:3023:41E2:9B21:3F8B:169;106261;1708084807;1708084809;678;676;;16281;1977245;26264;85090;122109618;2090128;1;323;0;-75;0;2000;-7500;2;2;2;0;98;0;32726;56;0;52;1708092006;1708092006;1708092006;1708092009;1708092009;1708092009;support;support;support;1708092009;1708092009;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;4.02E+12
00-41-0E-2C-;;68-4A-AE-AB-AF-60;KTIRIO_B_R1-AP_1.1;EDUROAM;1;2;3;44;dotac;ht40;9;support;270;180;eduroam;68-4A-AE-AB-AF-70;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;23;106269;FE80::3D49:DA9F:9BD7:7F69?2001:648:2D00:3023:2CDA:FADC:A9D3:5DB0?2001:648:2D00:3023:A4FB:5C79:C3BD:20D6?2001:648:2D00:3023:95EB:425D:DE6:16FA;106261;1708081978;1708081978;3508;3507;;118632;14109751;4608;145814;87572750;36448;1;316;0;-72;0;2300;-7200;4;4;2;2;96;0;1068;132;0;2;1708089490;1708089490;1708089490;1708089491;1708089491;1708089493;support;support;support;1708089491;1708089491;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;65144478207
00-45-E2-4D-;;B0-08-75-C7-73-20;KTIRIO_I_R1-AP_0.2;EDUROAM;1;2;3;36;dotac;ht40;9;support;200;200;eduroam;B0-08-75-C7-73-30;eduroam;associatedAndAuthenticated;wpa8021X;aes;wmm;yes;23;1062664;FE80::6E6D:CE59:7C91:7FE2?2001:648:2D00:3023:9E16:CC87:CADC:C38D?2001:648:2D00:3023:D909:17EC:5760:35E6;106261;1708081775;-1;3711;80085169;;1304971;200615168;228960;1079405;266965418;305608;0;0;0;-64;0;3100;-6400;4;4;1;2;96;1;32682;149;0;0;1708088974;1708088974;1708088974;1708088974;1708088974;1708088975;support;support;support;1708088974;1708088974;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;69226771651
00-BB-1C-04-;;E0-00-84-38-25-40;R0_EST-AP_0.2;EDUROAM;1;2;3;36;dotac;ht40;9;support;180;200;eduroam;E0-00-84-38-25-50;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;21;1062247;FE80::F23:21D1:D56E:4BCB?2001:648:2D00:3021:B1AB:481A:CA32:6E07?2001:648:2D00:3021:F813:2AE3:304A:9FDD;106221;1708081225;1708081225;4262;4260;;7004;2037659;4192;7336;4773895;3168;0;10;0;-58;0;3700;-5800;2;2;1;0;98;1;300;4;0;80;1708092088;1708092088;1708092088;1708092088;1708092088;1708092088;support;support;nonsupport;1708092088;1708092088;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.87E+11
00-C3-0A-33-;;B0-08-75-C7-71-40;KTIRIO_I_R1-AP_1.3;EDUROAM;0;1;1;1;dotn;ht20;9;support;39;57;eduroam;B0-08-75-C7-71-40;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;no;24;1062856;FE80::E9C7:FF0C:C6EE:8745?2001:648:2D00:3024:DF6F:D7A2:5206:F28D?2001:648:2D00:3024:555:9355:9884:D271;106281;1708081245;1708081379;4242;4108;;77233;8710159;1088;366465;501469682;1528;0;4;0;-68;0;2700;-6800;12;12;2;0;88;10;83;158;0;87;1708088577;1708088577;1708088577;1708088578;1708088578;1708088579;support;nonsupport;nonsupport;1708088578;1708088578;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.95E+11
00-E9-3A-59-;;84-46-FE-A3-E4-60;KTIRIO_Z_R0-AP_2.9;EDUROAM;0;1;3;11;dotn;ht20;15;support;144;144;eduroam;84-46-FE-A3-E4-60;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;24;1062826;FE80::8157:A42B:D402:6180?2001:648:2D00:3024:E5AB:D4F0:B019:DE07;106281;1708081271;1708081271;4217;4216;;241119;23691795;0;169850;75531088;0;0;78;0;-60;0;3500;-6000;19;19;5;0;81;14;0;123;0;74;1708088472;1708088472;1708088472;1708088474;1708088475;1708088475;nonsupport;nonsupport;nonsupport;1708088474;1708088475;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.34E+12
00-E9-3A-70-;;68-4A-AE-AB-A7-00;KTIRIO_I_R1-AP_2.6;EDUROAM;0;1;3;1;dotn;ht20;7;support;72;58;eduroam;68-4A-AE-AB-A7-00;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;23;1062643;FE80::EF2E:ADB1:FF0C:D3F1?2001:648:2D00:3023:EFA3:A321:55AC:59A?2001:648:2D00:3023:54D0:7B0E:340E:9B8D;106261;1708083028;1708083029;2461;2459;;31475;6038464;2256;60244;67052486;3328;0;4;0;-55;0;4000;-5500;19;19;2;0;81;17;222;169;0;91;1708090438;1708090438;1708090438;1708090438;1708090438;1708090439;nonsupport;nonsupport;nonsupport;1708090438;1708090438;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.34E+11
00-EB-D8-50-;;84-46-FE-A3-E8-40;KTIRIO_H_R1-AP_2.8;EDUROAM;0;1;1;6;dotn;ht20;15;support;144;58;eduroam;84-46-FE-A3-E8-40;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;no;22;106247;FE80::2EA:2B3B:862B:21F6?2001:648:2D00:3022:DDD9:1289:7106:446F;106241;1708081257;1708081257;4232;4232;;17117;1610519;376;36525;53665582;672;0;0;0;-59;0;3600;-5900;8;8;2;0;92;6;37;68;0;0;1708088457;1708088457;1708088457;1708088457;1708088457;1708088457;nonsupport;nonsupport;nonsupport;1708088457;1708088457;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.35E+12
02-4A-68-31-;;B0-08-75-C7-6C-60;KTIRIO_Z_R0-AP_1.6;EDUROAM;1;2;3;116;dotac;ht40;9;support;81;108;eduroam;B0-08-75-C7-6C-70;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;21;1062231;FE80::5FA8:3B:4AC3:3B3B?2001:648:2D00:3021:930B:BE59:BA3D:B6E0?2001:648:2D00:3021:71F6:D38F:6FC9:EF5A;106221;1708081261;1708081261;4229;4228;;101516;15695550;78152;318933;431847032;2045936;0;28;0;-75;0;2000;-7500;1;1;1;0;99;0;32623;111;0;56;1708091530;1708091530;1708091530;1708091530;1708092366;1708092366;support;support;nonsupport;1708091530;1708091530;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.74E+12
02-75-10-B4-;;B0-08-75-C7-6D-60;KTIRIO_Z_R0-AP_0.2;EDUROAM;1;2;3;124;dotac;ht40;9;support;40;150;eduroam;B0-08-75-C7-6D-70;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;24;1062829;FE80::75:10FF:FEB4:A978?2001:648:2D00:3024:AD1B:D2B1:7F26:225C;106281;1708081315;1708081316;4175;4174;;1970;527780;8;2112;1604855;8;0;0;0;-79;0;1600;-7900;0;0;0;0;100;0;2;98;0;96;1708089767;1708089767;1708089767;1708089767;1708090317;1708090317;nonsupport;nonsupport;nonsupport;1708089767;1708089767;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.12E+14
02-95-8E-6E-;;68-4A-AE-AB-B9-E0;R0 GRAFEIA-AP04;EDUROAM;0;1;0;1;dotn;ht20;7;support;19;1;eduroam;68-4A-AE-AB-B9-E0;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;22;1062462;FE80::95:8EFF:FE6E:5A59?2001:648:2D00:3022:44D3:BDCC:B76D:90B4;106241;1708085380;1708085380;111;110;;232;60629;0;285;145524;0;25;0;0;-88;0;700;-8800;9;9;3;0;91;6;285;172;0;0;0;0;0;0;0;0;support;support;nonsupport;0;0;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.15E+13
04-10-6B-7D-;;B0-08-75-C7-85-E0;KTIRIO_TH_R0-AP_2.7;EDUROAM;1;2;3;132;dotac;ht40;9;support;162;200;eduroam;B0-08-75-C7-85-F0;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;20;1062053;FE80::592E:8556:90EA:10A5?2001:648:2D00:3020:9962:F63B:3197:52F8;106201;1708081310;1708081310;4181;4181;;50216;9947946;72120;78620;95021726;951584;0;89;0;-68;0;2700;-6800;0;0;0;0;100;0;16408;94;0;19;1708091998;1708091998;1708091998;1708091999;1708092033;1708092033;support;nonsupport;nonsupport;1708091999;1708091999;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;4.16E+14
04-7B-CB-BB-;;B0-08-75-C7-87-40;KTIRIO_A_R0-AP_1.2;EDUROAM;0;1;3;11;dotn;ht20;9;support;1;144;eduroam;B0-08-75-C7-87-40;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;no;20;1062036;FE80::E08F:E940:A6DD:6CA0?2001:648:2D00:3020:51CF:2C0B:6D77:539E;106201;1708081217;1708081217;4275;4274;;4198;1745069;32;6402;4985006;32;0;0;0;-56;0;3900;-5600;10;10;2;0;90;8;3;17;0;95;1708088416;1708088416;1708088416;1708088416;1708088416;1708088416;support;support;nonsupport;1708088416;1708088416;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;4.12E+15
04-C8-07-94-;;68-4A-AE-AB-B0-A0;KTIRIO_B_R1-AP_1.2;EDUROAM;0;1;1;11;dotn;ht20;7;support;1;19;eduroam;68-4A-AE-AB-B0-A0;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;21;1062224;FE80::CB2F:402:A49A:96E1?2001:648:2D00:3021:3A:E30B:B748:999A;106221;1708082270;1708082272;3222;3219;;5691;1371262;8;6153;4787651;0;0;0;0;-75;0;2000;-7500;7;7;2;0;93;5;1;133;0;96;1708089472;1708089472;1708089472;1708089472;1708089475;1708089476;nonsupport;nonsupport;nonsupport;1708089472;1708089472;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;4.20E+13
04-CF-4B-DC-;;B0-08-75-C7-6C-A0;KTIRIO_C_R0-AP_2.3;EDUROAM;1;2;3;44;dotac;ht40;9;support;360;240;eduroam;B0-08-75-C7-6C-B0;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;21;1062252;FE80::D0D0:FD9C:A0B1:7A89?2001:648:2D00:3021:7454:2199:2F54:C9BB?2001:648:2D00:3021:10F:8737:2C6C:C8FA?2001:648:2D00:3021:A010:3A34:8FA3:D9E0;106221;1708081234;1708081239;4259;4254;;143132;73612087;43048;147382;96912713;29920;0;29;0;-67;0;2800;-6700;0;0;0;0;100;0;2480;41;0;0;1708090155;1708090155;1708090155;1708090155;1708090155;1708091060;support;support;support;1708090155;1708090155;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;4.21E+12
06-05-0F-5A-;;84-46-FE-A3-E5-A0;KTIRIO_H_R1-AP_1.8;EDUROAM;1;2;3;132;dotac;ht40;9;support;52;180;eduroam;84-46-FE-A3-E5-B0;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;22;1062435;FE80::8B6:7E28:315E:C48E?2001:648:2D00:3022:48C9:B60E:26:E34D;106241;1708081230;1708081231;4264;4262;;61020;17001939;37568;187936;210707494;37280;0;8;0;-84;0;1100;-8400;2;2;2;0;98;0;44;59;0;0;1708092641;1708092641;1708092641;1708092642;0;0;support;support;nonsupport;1708092642;1708092642;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;65159015066
06-0A-20-F6-;;E0-00-84-BF-45-C0;KTIRIO_B_R1-AP_0.5;EDUROAM;0;1;3;1;dotn;ht20;9;support;192;104;eduroam;E0-00-84-BF-45-C0;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;22;1062414;FE80::40A:20FF:FEF6:1A70?2001:648:2D00:3022:19FE:7A05:A129:E3F9;106241;1708081259;1708081260;4235;4234;;123006;17624043;36688;291233;391916165;1210968;0;269;0;-48;0;4700;-4800;12;12;3;0;88;9;19230;128;0;61;1708091808;1708091808;1708091808;1708091808;1708092060;1708092060;support;nonsupport;nonsupport;1708091808;1708091808;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;6.10E+12
06-C0-71-B9-;;84-46-FE-A3-E7-40;KTIRIO_Z_R0-AP_2.5;EDUROAM;0;1;3;6;dotn;ht20;7;support;39;72;eduroam;84-46-FE-A3-E7-40;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;21;1062210;FE80::4C0:71FF:FEB9:4A51?2001:648:2D00:3021:4C0:71FF:FEB9:4A51?2001:648:2D00:3021:B0E8:708F:BF10:8EF6;106221;1708081323;1708081324;4172;4170;;3856;1113532;280;3865;2428414;288;0;1;0;-62;0;3300;-6200;6;6;2;0;94;4;45;119;0;96;1708091405;1708091405;1708091405;1708091405;1708091407;1708091409;support;support;nonsupport;1708091407;1708091407;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;6.19E+13
06-D6-58-15-;;84-46-FE-A3-EA-40;KTIRIO_H_R1-AP_0.7;EDUROAM;1;2;3;52;dotac;ht40;9;support;150;200;eduroam;84-46-FE-A3-EA-50;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;22;1062448;2A02:1388:430E:7FFE::5E42:294E?FE80::4D6:58FF:FE15:1A43?2001:648:2D00:3022:81E:D508:7E3A:F63C;106241;1708081304;1708081305;4191;4190;;7939;2246324;56;18902;14434946;72;0;0;0;-67;0;2800;-6700;0;0;0;0;100;0;7;49;0;95;1708092392;1708092392;1708092392;1708092392;0;0;support;support;support;1708092392;1708092392;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;6.21E+11
08-1C-6E-B4-;;B0-08-75-C7-71-80;KTIRIO_A_R0-AP_0.6;EDUROAM;0;1;3;11;dotn;ht20;9;support;1;6;eduroam;B0-08-75-C7-71-80;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;21;1062229;2001:648:2D00:3021:E442:6B75:7F73:B09F?2001:648:2D00:3021:295C:698A:C972:1B20?FE80::4925:FE7B:4519:BC27;106221;1708085062;1708085062;434;433;;2025;560927;208;4934;5399731;0;12;12;0;-88;0;700;-8800;16;16;2;0;84;14;0;12;0;0;1708092482;1708092482;1708092482;1708092482;0;0;support;nonsupport;nonsupport;1708092482;1708092482;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;8.28E+13
0A-C5-AA-30-;;E0-00-84-BF-3D-80;KTIRIO_TH_R0-AP_1.5;EDUROAM;1;2;3;124;dotac;ht40;9;support;180;120;eduroam;E0-00-84-BF-3D-90;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;20;1062031;FE80::1CCB:D46D:97AD:2AA2?2001:648:2D00:3020:5C0D:1558:7FBE:B32D;106201;1708084595;1708084595;901;900;;131041;165131560;4032800;83121;79235893;1605680;2;3306;0;-75;0;2000;-7500;11;11;6;5;89;0;4084;83;0;1;1708092551;1708092551;1708092551;1708092551;0;0;support;support;nonsupport;1708092551;1708092551;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.02E+13
0A-FE-54-53-;;E0-00-84-38-26-40;R0_EST-AP_0.1;EDUROAM;1;2;3;132;dotac;ht40;9;support;6;243;eduroam;E0-00-84-38-26-50;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;23;1062621;FE80::8FE:54FF:FE53:B803?2001:648:2D00:3023:8FE:54FF:FE53:B803?2001:648:2D00:3023:425:5D4:4E58:222B;106261;1708082782;1708082782;2715;2714;;20446;5221544;1960;66203;77141218;1952;0;4;0;-76;0;1900;-7600;12;12;10;2;88;0;114;3;0;81;1708092384;1708092384;1708092384;1708092384;0;0;support;support;support;1708092384;1708092384;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.03E+12
0C-9A-3C-5B-;;B0-08-75-C7-71-60;KTIRIO_I_R1-AP_0.6;EDUROAM;1;2;2;132;dotac;ht40;9;support;180;240;eduroam;B0-08-75-C7-71-70;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;no;21;1062273;;106221;1708085360;1708085364;137;133;;0;0;0;0;0;0;0;53;0;-76;0;1900;-7600;0;0;0;0;100;0;0;153;0;0;0;0;0;0;0;0;support;support;support;0;0;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;::;;;;;1.22E+14
0E-27-86-F0-;;E0-00-84-38-25-40;R0_EST-AP_0.2;EDUROAM;1;2;3;36;dotac;ht40;9;support;360;400;eduroam;E0-00-84-38-25-50;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;no;20;106204;FE80::C27:86FF:FEF0:C4D4?2001:648:2D00:3020:C27:86FF:FEF0:C4D4?2001:648:2D00:3020:98E5:AFCA:2DCF:367E;106201;1708084914;1708084914;584;582;;4325;1264277;4576;15948;17444936;5736;0;0;0;-61;0;3400;-6100;4;4;2;1;96;1;450;4;0;82;1708092113;1708092113;1708092113;1708092114;1708092114;1708092115;support;support;support;1708092114;1708092114;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.44E+15
0E-FE-B6-68-;;B0-08-75-C7-6B-40;KTIRIO_A_R0-AP_2.6;EDUROAM;0;1;1;1;dotn;ht20;7;support;1;52;eduroam;B0-08-75-C7-6B-40;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;23;1062635;FE80::CFE:B6FF:FE68:2AAC?2001:648:2D00:3023:CFE:B6FF:FE68:2AAC?2001:648:2D00:3023:90E9:C0B:3ED6:FF42;106261;1708081273;1708081276;4225;4221;;56156;9913887;2072;176767;230695270;4552;0;1;0;-67;0;2800;-6700;13;13;2;0;87;11;229;29;0;93;1708089834;1708089834;1708089834;1708089835;1708089836;1708089837;nonsupport;nonsupport;nonsupport;1708089835;1708089836;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.43E+15
10-5A-17-BB-;;E0-00-84-38-27-20;KTIRIO_Z_R0-AP_1.3;EDUROAM;0;1;1;6;dotn;ht20;7;support;1;1;eduroam;E0-00-84-38-27-20;eduroam;associatedNotAuthenticated;wpa2Dot1x;aes;wmm;no;22;0;;0;1708085485;0;14;0;;0;0;0;0;0;0;0;0;0;-63;0;3200;-6300;10;10;2;0;90;8;0;108;0;0;0;0;0;0;0;0;nonsupport;nonsupport;nonsupport;0;0;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;::;;;;;1.69E+13
10-5B-AD-18-;;84-46-FE-A3-F0-20;KTIRIO_H_R1-AP_2.6;EDUROAM;0;1;3;1;dotn;ht20;7;support;58;52;eduroam;84-46-FE-A3-F0-20;eduroam;associatedAndAuthenticated;wpa8021X;aes;wmm;yes;23;10626124;FE80::3FF6:ACA2:8107:3CD9?2001:648:2D00:3023:5137:B713:9103:A1D?2001:648:2D00:3023:B986:B456:14C9:34DA;106261;1708082408;1708082409;3092;3090;;25305;3417255;8432;115899;146479077;211512;0;181;0;-59;0;3600;-5900;10;10;2;0;90;8;1114;66;0;0;1708092532;1708092532;1708092532;1708092532;1708092533;1708092535;support;support;support;1708092533;1708092533;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.69E+14
10-6F-D9-65-;;B0-08-75-C7-74-80;KTIRIO_I_R1-AP_0.5;EDUROAM;0;1;3;11;dotn;ht20;15;support;156;52;eduroam;B0-08-75-C7-74-80;eduroam;associatedAndAuthenticated;wpa8021X;aes;wmm;no;22;10624163;FE80::7D37:20F0:3266:1D6D?2001:648:2D00:3022:19DC:CA95:682C:295;106241;1708081289;1708081290;4211;4210;;747326;81547981;341920;872585;1298505526;1194776;0;67;0;-71;0;2400;-7100;21;21;2;0;79;19;29297;152;0;6;1708088489;1708088489;1708088489;1708088489;1708088489;1708088489;nonsupport;nonsupport;nonsupport;1708088489;1708088489;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.61E+14
10-8E-E0-24-;;E0-00-84-38-26-20;KTIRIO_B_R1-AP_0.1;EDUROAM;1;2;3;52;dotn;ht40;7;support;120;81;eduroam;E0-00-84-38-26-30;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;21;106222;FE80::128E:E0FF:FE24:96EE?2001:648:2D00:3021:128E:E0FF:FE24:96EE?2001:648:2D00:3021:54B0:6C85:7DE6:3E20;106221;1708083269;1708083299;2232;2201;;65335;7960285;86168;189829;253835514;2204408;0;175;0;-84;0;1100;-8400;4;4;3;0;96;1;36554;124;0;31;1708092115;1708092115;1708092115;1708092115;1708092116;1708092117;nonsupport;nonsupport;nonsupport;1708092115;1708092116;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.61E+15
10-8E-E0-9B-;;E0-00-84-38-26-C0;KTIRIO_Z_R0-AP_1.2;EDUROAM;1;2;3;124;dotn;ht40;7;support;90;108;eduroam;E0-00-84-38-26-D0;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;23;1062650;FE80::128E:E0FF:FE9B:312?2001:648:2D00:3023:7974:FA4B:A04A:7DC5;106261;1708081523;1708081554;3978;3947;;287;36785;8;319;150894;8;0;0;0;-75;0;2000;-7500;0;0;0;0;100;0;2;107;0;94;1708089350;1708089350;1708089350;1708089350;1708089656;1708089656;nonsupport;nonsupport;nonsupport;1708089350;1708089350;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.61E+13
10-B1-DF-80-;;E0-00-84-38-25-60;R0_AMF-AP_0.2;EDUROAM;1;2;3;60;dotac;ht40;9;support;162;300;eduroam;E0-00-84-38-25-70;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;22;1062443;FE80::367D:D45D:A5B7:F5DB?2001:648:2D00:3022:ECA2:28B0:FA9E:5D0D;106241;1708082818;1708082818;2684;2683;;14755;4116063;7272;14278;5309673;10096;0;11;0;-78;0;1700;-7800;0;0;0;0;100;0;822;1;0;0;1708090958;1708090958;1708090958;1708090958;1708090958;1708090960;support;support;support;1708090958;1708090958;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.62E+16
10-E9-53-DE-;;E0-00-84-38-25-40;R0_EST-AP_0.2;EDUROAM;0;1;0;1;dotn;ht20;7;support;52;72;eduroam;E0-00-84-38-25-40;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;23;106266;FE80::A9E2:1FF4:B30E:C54C?2001:648:2D00:3023:47B1:E1DC:F486:69E2?2001:648:2D00:3023:298C:D2F2:3769:6D12;106261;1708081358;1708081358;4144;4144;;7855;1589535;240;8838;7171486;504;0;0;0;-63;0;3200;-6300;50;50;17;2;50;31;39;4;0;83;1708090577;1708090577;1708090577;1708090577;1708091413;1708091413;nonsupport;nonsupport;nonsupport;1708090577;1708090578;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.62E+13
